author,edition_year,name,price,publisher,ratings
龙应台,Oct-09,目送,39.00元,生活·读书·新知三联书店,8.7
花城出版社,1997/3/1,倾城之恋,11,花城出版社,8.5
[英] 毛姆,Aug-06,月亮和六便士,15.00元,上海译文出版社,9
[日] 东野圭吾,Jun-09,恶意,18,南海出版公司,8.4
[法] 玛格丽特·杜拉斯,Jul-05,情人,20.00元,上海译文出版社,8.1
[哥伦比亚] 加西亚·马尔克斯,2012/9/1,霍乱时期的爱情,39.50元,南海出版公司,9
[英] J. K. 罗琳,Sep-00,哈利·波特与阿兹卡班的囚徒,26.50元,人民文学出版社,8.9
沈从文,Apr-02,边城,12.00元,北岳文艺出版社,8.6
姜戎,Apr-04,狼图腾,32.00元,长江文艺出版社,8.3
[英] J. K. 罗琳,May-01,哈利·波特与火焰杯,39.80元,人民文学出版社,9
[日] 村上春树,May-10,1Q84 BOOK 1,36.00元,南海出版公司,8.3
[英] J. K. 罗琳,Sep-00,哈利·波特与密室,22.00元,人民文学出版社,8.9
余华,Sep-98,许三观卖血记,16.80元,南海出版公司,8.7
三毛,1976,撒哈拉的故事,160 TWD,皇冠出版社,9
霍达,1988/12/1,穆斯林的葬礼,32,北京十月文艺出版社,8.2
[美] 黄仁宇,May-97,万历十五年,18.00元,生活·读书·新知三联书店,8.9
安妮宝贝,Mar-06,莲花,25.00元,作家出版社,8
幾米,Aug-02,向左走·向右走,16.00元,生活·读书·新知三联书店,8.4
南派三叔,Jan-07,盗墓笔记,26.80元,中国友谊出版公司,8.3
[英] J. K. 罗琳,Oct-05,哈利·波特与混血王子,58.00元,人民文学出版社,8.8
[日] 黑柳彻子 著,Jan-03,窗边的小豆豆,20.00元,南海出版公司,8.7
王小波,Mar-99,黄金时代,19.00元,花城出版社,8.8
（挪威）乔斯坦·贾德,Apr-99,苏菲的世界,26.80元,作家出版社,8.5
金庸,May-94,天龙八部,96,三联书店,9.1
[明] 罗贯中,May-98,三国演义（全二册）,39.50元,人民文学出版社,9.2
[美] 卡勒德·胡赛尼,May-06,追风筝的人,29.00元,上海人民出版社,8.9
桐华,Jan-10,那些回不去的年少时光,23.80元,江苏文艺出版社,8.5
[日] 东野圭吾,May-14,解忧杂货店,39.50元,南海出版公司,8.6
[法] 圣埃克苏佩里,Aug-03,小王子,22.00元,人民文学出版社,9
[日] 东野圭吾,Sep-08,白夜行,29.80元,南海出版公司,9.1
钱锺书,Feb-91,围城,19,人民文学出版社,8.9
刘慈欣,Jan-08,三体,23,重庆出版社,8.8
张爱玲,Jun-05,金锁记,13.5元,哈尔滨出版社,8.5
乔一,2015/5/1,我不喜欢这世界，我只喜欢你,29.80元,湖南少年儿童出版社,8
尾田荣一郎,Nov-07,海贼王,7.50元,浙江人民美术出版社,9.5
林达,May-97,历史深处的忧虑,19.00元,生活·读书·新知三联书店,9
[美] 罗伯特·西奥迪尼,May-06,影响力,45.00元,中国人民大学出版社,8.6
钱穆,2001,中国历代政治得失,12.00元,生活·读书·新知三联书店,9.1
[日] 东野圭吾,Sep-08,嫌疑人X的献身,28,南海出版公司,8.9
[日] 村上春树,Feb-01,挪威的森林,18.80元,上海译文出版社,8
余华,May-98,活着,12.00元,南海出版公司,9.1
[哥伦比亚] 加西亚·马尔克斯,Jun-11,百年孤独,39.50元,南海出版公司,9.2
[清] 曹雪芹 著,Dec-96,红楼梦,59.70元,人民文学出版社,9.6
柴静,2013/1/1,看见,39.80元,广西师范大学出版社,8.8
李海鹏,Jun-10,佛祖在一号线,25.00元,文化艺术出版社,8.2
[捷克] 米兰·昆德拉,May-04,生活在别处,25.00元,上海译文出版社,8.4
[法国] 儒尔·凡尔纳,Sep-02,海底两万里,19.50元,译林出版社,8.4
鲁迅,Mar-06,狂人日记,39.80元,京华出版社,8.7
金庸,Apr-99,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,8.9
[美] 莫提默·J. 艾德勒,Jan-04,如何阅读一本书,38.00元,商务印书馆,8.4
杨显惠,Sep-08,夹边沟记事,34.00元,花城出版社,9.2
[日]芥川龙之介,Jul-08,罗生门,12.00元,上海译文出版社,8.7
陈丹青,Jan-05,退步集,38.00元,广西师范大学出版社,8.1
[英] W.萨默塞特·毛姆,May-12,面纱,32.00元,重庆出版社,8.7
